<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2024.01.02	11:00:00	1.10051	1.10101	1.10032	1.10097	2194
2024.01.02	12:00:00	1.10097	1.10136	1.10092	1.10130	4964
2024.01.02	13:00:00	1.10130	1.10131	1.10052	1.10082	1938
2024.01.02	14:00:00	1.10082	1.10152	1.10000	1.10094	559
2024.01.02	15:00:00	1.10094	1.10137	1.10073	1.10099	4254
2024.01.02	16:00:00	1.10099	1.10116	1.10084	1.10110	4697
2024.01.02	17:00:00	1.10110	1.10171	1.09994	1.10164	3449
2024.01.02	18:00:00	1.10164	1.10198	1.10125	1.10176	3357
2024.01.02	19:00:00	1.10176	1.10224	1.10132	1.10217	2079
2024.01.02	20:00:00	1.10217	1.10221	1.10177	1.10218	2117
2024.01.02	21:00:00	1.10218	1.10270	1.10203	1.10234	4613
2024.01.02	22:00:00	1.10234	1.10277	1.10199	1.10273	4361
2024.01.02	23:00:00	1.10273	1.10289	1.10164	1.10173	2743
2024.01.03	00:00:00	1.10173	1.10195	1.10126	1.10149	1908
2024.01.03	01:00:00	1.10149	1.10171	1.10102	1.10114	1347
2024.01.03	02:00:00	1.10114	1.10129	1.10064	1.10069	549
2024.01.03	03:00:00	1.10069	1.10103	1.10022	1.10047	2674
2024.01.03	04:00:00	1.10047	1.10171	1.09997	1.10143	2992
2024.01.03	05:00:00	1.10143	1.10166	1.10021	1.10082	3536
2024.01.03	06:00:00	1.10082	1.10147	1.10027	1.10143	4122
2024.01.03	07:00:00	1.10143	1.10153	1.10012	1.10028	2152
2024.01.03	08:00:00	1.10028	1.10071	1.09965	1.10003	1250
2024.01.03	09:00:00	1.10003	1.10036	1.09952	1.10010	4297
2024.01.03	10:00:00	1.10010	1.10071	1.09989	1.10046	3931
2024.01.03	11:00:00	1.10046	1.10097	1.10033	1.10089	2899
2024.01.03	12:00:00	1.10089	1.10155	1.10064	1.10139	676
2024.01.03	13:00:00	1.10139	1.10172	1.10095	1.10112	2604
2024.01.03	14:00:00	1.10112	1.10115	1.10035	1.10078	3286
2024.01.03	15:00:00	1.10078	1.10136	1.10053	1.10132	4364
2024.01.03	16:00:00	1.10132	1.10220	1.10061	1.10116	2786
2024.01.03	17:00:00	1.10116	1.10125	1.09963	1.10028	2583
2024.01.03	18:00:00	1.10028	1.10035	1.09922	1.09950	2209
2024.01.03	19:00:00	1.09950	1.09957	1.09831	1.09886	2364
2024.01.03	20:00:00	1.09886	1.09972	1.09878	1.09916	573
2024.01.03	21:00:00	1.09916	1.09970	1.09830	1.09922	966
2024.01.03	22:00:00	1.09922	1.09997	1.09887	1.09964	3903
2024.01.03	23:00:00	1.09964	1.10069	1.09930	1.09933	2131
2024.01.04	00:00:00	1.09933	1.09959	1.09876	1.09940	4328
2024.01.04	01:00:00	1.09940	1.09994	1.09915	1.09978	2286
2024.01.04	02:00:00	1.09978	1.09998	1.09855	1.09954	4985
2024.01.04	03:00:00	1.09954	1.10025	1.09925	1.09981	1312
2024.01.04	04:00:00	1.09981	1.10015	1.09894	1.09934	1346
2024.01.04	05:00:00	1.09934	1.09937	1.09858	1.09907	3145
2024.01.04	06:00:00	1.09907	1.09921	1.09830	1.09878	4112
2024.01.04	07:00:00	1.09878	1.09919	1.09788	1.09796	1147
2024.01.04	08:00:00	1.09796	1.09826	1.09793	1.09825	2762
2024.01.04	09:00:00	1.09825	1.09858	1.09749	1.09791	1506
2024.01.04	10:00:00	1.09791	1.09859	1.09764	1.09788	3817
2024.01.04	11:00:00	1.09788	1.09834	1.09770	1.09817	3024
2024.01.04	12:00:00	1.09817	1.09873	1.09800	1.09843	3444
2024.01.04	13:00:00	1.09843	1.09974	1.09794	1.09883	1710
2024.01.04	14:00:00	1.09883	1.09886	1.09712	1.09873	1799
2024.01.04	15:00:00	1.09873	1.09904	1.09815	1.09842	3378
2024.01.04	16:00:00	1.09842	1.09890	1.09830	1.09834	2088
2024.01.04	17:00:00	1.09834	1.09856	1.09667	1.09719	3607
2024.01.04	18:00:00	1.09719	1.09790	1.09595	1.09621	1192
2024.01.04	19:00:00	1.09621	1.09643	1.09522	1.09531	1855
2024.01.04	20:00:00	1.09531	1.09563	1.09440	1.09462	957
2024.01.04	21:00:00	1.09462	1.09502	1.09461	1.09485	893
2024.01.04	22:00:00	1.09485	1.09493	1.09351	1.09422	1680
2024.01.04	23:00:00	1.09422	1.09445	1.09344	1.09394	2702
2024.01.05	00:00:00	1.09394	1.09483	1.09387	1.09476	1149
2024.01.05	01:00:00	1.09476	1.09507	1.09401	1.09449	918
2024.01.05	02:00:00	1.09449	1.09568	1.09396	1.09494	4447
2024.01.05	03:00:00	1.09494	1.09508	1.09428	1.09430	2818
2024.01.05	04:00:00	1.09430	1.09461	1.09344	1.09413	3720
2024.01.05	05:00:00	1.09413	1.09510	1.09319	1.09347	3767
2024.01.05	06:00:00	1.09347	1.09398	1.09281	1.09322	957
2024.01.05	07:00:00	1.09322	1.09432	1.09225	1.09374	3291
2024.01.05	08:00:00	1.09374	1.09375	1.09224	1.09257	4373
2024.01.05	09:00:00	1.09257	1.09305	1.09253	1.09282	2517
2024.01.05	10:00:00	1.09282	1.09317	1.09253	1.09295	4379
2024.01.05	11:00:00	1.09295	1.09320	1.09232	1.09252	4756
2024.01.05	12:00:00	1.09252	1.09274	1.09121	1.09154	2958
2024.01.05	13:00:00	1.09154	1.09188	1.09125	1.09156	957
2024.01.05	14:00:00	1.09156	1.09180	1.09099	1.09118	3278
2024.01.05	15:00:00	1.09118	1.09175	1.09096	1.09130	4460
2024.01.05	16:00:00	1.09130	1.09169	1.09084	1.09128	3106
2024.01.05	17:00:00	1.09128	1.09258	1.09074	1.09230	4100
2024.01.05	18:00:00	1.09230	1.09259	1.09180	1.09211	2909
2024.01.05	19:00:00	1.09211	1.09236	1.09130	1.09140	2388
2024.01.05	20:00:00	1.09140	1.09178	1.09103	1.09149	4755
2024.01.05	21:00:00	1.09149	1.09200	1.09127	1.09160	1187
2024.01.05	22:00:00	1.09160	1.09260	1.09128	1.09246	2514
2024.01.05	23:00:00	1.09246	1.09327	1.09191	1.09297	1201
2024.01.06	00:00:00	1.09297	1.09321	1.09236	1.09317	3446
2024.01.06	01:00:00	1.09317	1.09450	1.09267	1.09410	4648
2024.01.06	02:00:00	1.09410	1.09422	1.09276	1.09329	4990
2024.01.06	03:00:00	1.09329	1.09337	1.09249	1.09284	1551
2024.01.06	04:00:00	1.09284	1.09323	1.09192	1.09220	3774
2024.01.06	05:00:00	1.09220	1.09260	1.09158	1.09191	4433
2024.01.06	06:00:00	1.09191	1.09221	1.09089	1.09097	4251
2024.01.06	07:00:00	1.09097	1.09150	1.09045	1.09136	2764
2024.01.06	08:00:00	1.09136	1.09138	1.09079	1.09118	1285
2024.01.06	09:00:00	1.09118	1.09160	1.08992	1.09018	2577
2024.01.06	10:00:00	1.09018	1.09043	1.08923	1.08949	3992
2024.01.06	11:00:00	1.08949	1.09021	1.08907	1.08966	3287
2024.01.06	12:00:00	1.08966	1.09025	1.08939	1.09017	2247
2024.01.06	13:00:00	1.09017	1.09185	1.08999	1.09145	1467
2024.01.06	14:00:00	1.09145	1.09345	1.09084	1.09332	3433
2024.01.06	15:00:00	1.09332	1.09362	1.09310	1.09356	2427
2024.01.06	16:00:00	1.09356	1.09495	1.09246	1.09288	2624
2024.01.06	17:00:00	1.09288	1.09300	1.09126	1.09145	4723
2024.01.06	18:00:00	1.09145	1.09175	1.09106	1.09159	541
2024.01.06	19:00:00	1.09159	1.09216	1.09051	1.09103	1572
2024.01.06	20:00:00	1.09103	1.09177	1.09068	1.09072	4639
2024.01.06	21:00:00	1.09072	1.09076	1.09028	1.09029	4647
2024.01.06	22:00:00	1.09029	1.09109	1.09007	1.09017	1861
2024.01.06	23:00:00	1.09017	1.09088	1.08999	1.09083	4973
2024.01.07	00:00:00	1.09083	1.09159	1.09058	1.09090	1452
2024.01.07	01:00:00	1.09090	1.09106	1.09061	1.09076	733
2024.01.07	02:00:00	1.09076	1.09135	1.08998	1.09005	1882
2024.01.07	03:00:00	1.09005	1.09020	1.08863	1.08893	2891
2024.01.07	04:00:00	1.08893	1.08926	1.08814	1.08858	527
2024.01.07	05:00:00	1.08858	1.08885	1.08837	1.08851	1273
2024.01.07	06:00:00	1.08851	1.08986	1.08810	1.08963	4059
2024.01.07	07:00:00	1.08963	1.08983	1.08955	1.08968	3297
2024.01.07	08:00:00	1.08968	1.09083	1.08899	1.09029	3223
2024.01.07	09:00:00	1.09029	1.09072	1.08992	1.08993	4952
2024.01.07	10:00:00	1.08993	1.09012	1.08905	1.08913	1527
2024.01.07	11:00:00	1.08913	1.08966	1.08823	1.08846	4535
2024.01.07	12:00:00	1.08846	1.08900	1.08732	1.08796	2098
2024.01.07	13:00:00	1.08796	1.08953	1.08750	1.08932	4661
2024.01.07	14:00:00	1.08932	1.08985	1.08846	1.08875	4024
2024.01.07	15:00:00	1.08875	1.08935	1.08787	1.08926	1460
2024.01.07	16:00:00	1.08926	1.08938	1.08821	1.08864	1442
2024.01.07	17:00:00	1.08864	1.08967	1.08863	1.08921	2940
2024.01.07	18:00:00	1.08921	1.08984	1.08876	1.08943	2762
2024.01.07	19:00:00	1.08943	1.08947	1.08875	1.08930	1556
2024.01.07	20:00:00	1.08930	1.08950	1.08907	1.08924	1671
2024.01.07	21:00:00	1.08924	1.08966	1.08850	1.08878	4547
2024.01.07	22:00:00	1.08878	1.08928	1.08849	1.08904	3891
2024.01.07	23:00:00	1.08904	1.08907	1.08858	1.08871	1360
2024.01.08	00:00:00	1.08871	1.08901	1.08783	1.08787	3763
2024.01.08	01:00:00	1.08787	1.08830	1.08681	1.08701	1192
2024.01.08	02:00:00	1.08701	1.08729	1.08651	1.08709	2502
2024.01.08	03:00:00	1.08709	1.08825	1.08682	1.08809	554
2024.01.08	04:00:00	1.08809	1.08829	1.08802	1.08816	3421
2024.01.08	05:00:00	1.08816	1.08900	1.08797	1.08805	1318
2024.01.08	06:00:00	1.08805	1.08852	1.08731	1.08820	1562
2024.01.08	07:00:00	1.08820	1.08950	1.08811	1.08902	1353
2024.01.08	08:00:00	1.08902	1.08916	1.08838	1.08913	1325
2024.01.08	09:00:00	1.08913	1.08970	1.08866	1.08883	848
2024.01.08	10:00:00	1.08883	1.09046	1.08861	1.08952	2995
2024.01.08	11:00:00	1.08952	1.08978	1.08947	1.08977	4404
2024.01.08	12:00:00	1.08977	1.09090	1.08928	1.09074	1856
2024.01.08	13:00:00	1.09074	1.09099	1.09004	1.09083	4009
2024.01.08	14:00:00	1.09083	1.09098	1.08957	1.09000	2946
2024.01.08	15:00:00	1.09000	1.09029	1.08880	1.08907	1645
2024.01.08	16:00:00	1.08907	1.09096	1.08899	1.09011	777
2024.01.08	17:00:00	1.09011	1.09161	1.08987	1.09121	4024
2024.01.08	18:00:00	1.09121	1.09154	1.09038	1.09106	603
2024.01.08	19:00:00	1.09106	1.09129	1.09055	1.09078	2399
2024.01.08	20:00:00	1.09078	1.09210	1.09055	1.09170	654
2024.01.08	21:00:00	1.09170	1.09221	1.09050	1.09094	3989
2024.01.08	22:00:00	1.09094	1.09128	1.09007	1.09032	4954
2024.01.08	23:00:00	1.09032	1.09083	1.09026	1.09071	1953
2024.01.09	00:00:00	1.09071	1.09137	1.08990	1.09042	1911
2024.01.09	01:00:00	1.09042	1.09124	1.08997	1.09039	3040
2024.01.09	02:00:00	1.09039	1.09051	1.09023	1.09025	2758
2024.01.09	03:00:00	1.09025	1.09076	1.09010	1.09043	2217
2024.01.09	04:00:00	1.09043	1.09212	1.08975	1.09132	2146
2024.01.09	05:00:00	1.09132	1.09157	1.09112	1.09135	1344
2024.01.09	06:00:00	1.09135	1.09259	1.09102	1.09174	1628
2024.01.09	07:00:00	1.09174	1.09229	1.08985	1.09036	3135
2024.01.09	08:00:00	1.09036	1.09047	1.09016	1.09030	3804
2024.01.09	09:00:00	1.09030	1.09030	1.08927	1.08971	3878
2024.01.09	10:00:00	1.08971	1.09007	1.08885	1.08889	2824
2024.01.09	11:00:00	1.08889	1.08933	1.08791	1.08828	3888
2024.01.09	12:00:00	1.08828	1.08842	1.08752	1.08803	3164
2024.01.09	13:00:00	1.08803	1.08861	1.08803	1.08859	2103
2024.01.09	14:00:00	1.08859	1.08871	1.08763	1.08770	2090
2024.01.09	15:00:00	1.08770	1.08792	1.08745	1.08768	2834
2024.01.09	16:00:00	1.08768	1.08774	1.08693	1.08733	1884
2024.01.09	17:00:00	1.08733	1.08738	1.08657	1.08709	3937
2024.01.09	18:00:00	1.08709	1.08826	1.08692	1.08771	1333
2024.01.09	19:00:00	1.08771	1.08851	1.08727	1.08803	745
2024.01.09	20:00:00	1.08803	1.08906	1.08759	1.08887	2710
2024.01.09	21:00:00	1.08887	1.08956	1.08840	1.08873	823
2024.01.09	22:00:00	1.08873	1.08889	1.08804	1.08825	1362
2024.01.09	23:00:00	1.08825	1.08890	1.08757	1.08807	2193
2024.01.10	00:00:00	1.08807	1.08841	1.08782	1.08819	518
2024.01.10	01:00:00	1.08819	1.08959	1.08783	1.08828	1505
2024.01.10	02:00:00	1.08828	1.08875	1.08683	1.08754	2951
2024.01.10	03:00:00	1.08754	1.08784	1.08717	1.08756	2185
2024.01.10	04:00:00	1.08756	1.08785	1.08739	1.08768	4533
2024.01.10	05:00:00	1.08768	1.08945	1.08745	1.08929	921
2024.01.10	06:00:00	1.08929	1.09127	1.08875	1.09049	3738
2024.01.10	07:00:00	1.09049	1.09075	1.08963	1.08989	3164
2024.01.10	08:00:00	1.08989	1.09026	1.08963	1.08967	3399
2024.01.10	09:00:00	1.08967	1.09014	1.08850	1.08869	3522
2024.01.10	10:00:00	1.08869	1.08897	1.08823	1.08827	735
2024.01.10	11:00:00	1.08827	1.08882	1.08817	1.08844	4063
2024.01.10	12:00:00	1.08844	1.08976	1.08841	1.08920	1991
2024.01.10	13:00:00	1.08920	1.08969	1.08862	1.08869	3427
2024.01.10	14:00:00	1.08869	1.08893	1.08811	1.08823	1822
2024.01.10	15:00:00	1.08823	1.08831	1.08662	1.08679	2283
2024.01.10	16:00:00	1.08679	1.08688	1.08656	1.08665	3650
2024.01.10	17:00:00	1.08665	1.08669	1.08576	1.08593	4707
2024.01.10	18:00:00	1.08593	1.08619	1.08547	1.08555	4450
2024.01.10	19:00:00	1.08555	1.08556	1.08448	1.08495	3768
2024.01.10	20:00:00	1.08495	1.08529	1.08445	1.08485	2923
2024.01.10	21:00:00	1.08485	1.08527	1.08352	1.08368	2874
2024.01.10	22:00:00	1.08368	1.08398	1.08210	1.08269	4845
2024.01.10	23:00:00	1.08269	1.08413	1.08263	1.08404	1430
2024.01.11	00:00:00	1.08404	1.08405	1.08301	1.08317	4793
2024.01.11	01:00:00	1.08317	1.08326	1.08234	1.08243	3420
2024.01.11	02:00:00	1.08243	1.08379	1.08197	1.08359	3272
2024.01.11	03:00:00	1.08359	1.08570	1.08307	1.08545	3162
2024.01.11	04:00:00	1.08545	1.08603	1.08458	1.08465	4156
2024.01.11	05:00:00	1.08465	1.08476	1.08411	1.08438	3574
2024.01.11	06:00:00	1.08438	1.08474	1.08431	1.08457	926
2024.01.11	07:00:00	1.08457	1.08586	1.08436	1.08566	4015
2024.01.11	08:00:00	1.08566	1.08640	1.08446	1.08499	3779
2024.01.11	09:00:00	1.08499	1.08530	1.08471	1.08480	4617
2024.01.11	10:00:00	1.08480	1.08566	1.08473	1.08527	4714
2024.01.11	11:00:00	1.08527	1.08621	1.08504	1.08552	4770
2024.01.11	12:00:00	1.08552	1.08597	1.08495	1.08524	692
2024.01.11	13:00:00	1.08524	1.08585	1.08505	1.08512	3335
2024.01.11	14:00:00	1.08512	1.08527	1.08409	1.08420	4704
2024.01.11	15:00:00	1.08420	1.08431	1.08339	1.08401	4846
2024.01.11	16:00:00	1.08401	1.08446	1.08370	1.08380	2971
2024.01.11	17:00:00	1.08380	1.08411	1.08378	1.08392	4601
2024.01.11	18:00:00	1.08392	1.08427	1.08347	1.08353	4461
2024.01.11	19:00:00	1.08353	1.08407	1.08351	1.08380	511
2024.01.11	20:00:00	1.08380	1.08462	1.08370	1.08443	4482
2024.01.11	21:00:00	1.08443	1.08482	1.08389	1.08450	3369
2024.01.11	22:00:00	1.08450	1.08483	1.08402	1.08469	3081
2024.01.11	23:00:00	1.08469	1.08516	1.08456	1.08469	1303
2024.01.12	00:00:00	1.08469	1.08477	1.08440	1.08466	4634
2024.01.12	01:00:00	1.08466	1.08517	1.08397	1.08416	1828
2024.01.12	02:00:00	1.08416	1.08477	1.08398	1.08433	2380
2024.01.12	03:00:00	1.08433	1.08449	1.08314	1.08424	1838
2024.01.12	04:00:00	1.08424	1.08630	1.08399	1.08557	4863
2024.01.12	05:00:00	1.08557	1.08672	1.08511	1.08656	2674
2024.01.12	06:00:00	1.08656	1.08693	1.08644	1.08678	1013
2024.01.12	07:00:00	1.08678	1.08709	1.08585	1.08625	548
2024.01.12	08:00:00	1.08625	1.08634	1.08537	1.08549	4910
2024.01.12	09:00:00	1.08549	1.08639	1.08521	1.08624	1561
2024.01.12	10:00:00	1.08624	1.08676	1.08607	1.08637	3968
2024.01.12	11:00:00	1.08637	1.08722	1.08621	1.08665	631
2024.01.12	12:00:00	1.08665	1.08767	1.08540	1.08548	4535
2024.01.12	13:00:00	1.08548	1.08638	1.08534	1.08606	3427
2024.01.12	14:00:00	1.08606	1.08651	1.08598	1.08632	1511
2024.01.12	15:00:00	1.08632	1.08648	1.08527	1.08556	4501
2024.01.12	16:00:00	1.08556	1.08624	1.08489	1.08522	1840
2024.01.12	17:00:00	1.08522	1.08565	1.08482	1.08536	4990
2024.01.12	18:00:00	1.08536	1.08564	1.08506	1.08536	3197
2024.01.12	19:00:00	1.08536	1.08542	1.08488	1.08514	2518
2024.01.12	20:00:00	1.08514	1.08531	1.08485	1.08504	763
2024.01.12	21:00:00	1.08504	1.08522	1.08477	1.08485	1670
2024.01.12	22:00:00	1.08485	1.08554	1.08422	1.08491	762
2024.01.12	23:00:00	1.08491	1.08618	1.08475	1.08584	4338
2024.01.13	00:00:00	1.08584	1.08635	1.08406	1.08413	950
2024.01.13	01:00:00	1.08413	1.08416	1.08371	1.08395	1009
2024.01.13	02:00:00	1.08395	1.08421	1.08360	1.08403	1060
2024.01.13	03:00:00	1.08403	1.08429	1.08400	1.08419	4884
2024.01.13	04:00:00	1.08419	1.08445	1.08381	1.08392	4867
2024.01.13	05:00:00	1.08392	1.08459	1.08254	1.08274	3716
2024.01.13	06:00:00	1.08274	1.08300	1.08257	1.08292	831
2024.01.13	07:00:00	1.08292	1.08419	1.08248	1.08401	2767
2024.01.13	08:00:00	1.08401	1.08445	1.08274	1.08298	4767
2024.01.13	09:00:00	1.08298	1.08380	1.08276	1.08351	934
2024.01.13	10:00:00	1.08351	1.08375	1.08314	1.08327	4071
2024.01.13	11:00:00	1.08327	1.08327	1.08263	1.08319	581
2024.01.13	12:00:00	1.08319	1.08319	1.08227	1.08248	4117
2024.01.13	13:00:00	1.08248	1.08258	1.08166	1.08223	2950
2024.01.13	14:00:00	1.08223	1.08388	1.08198	1.08304	4495
2024.01.13	15:00:00	1.08304	1.08352	1.08284	1.08339	2362
2024.01.13	16:00:00	1.08339	1.08543	1.08338	1.08448	4033
2024.01.13	17:00:00	1.08448	1.08534	1.08396	1.08521	4291
2024.01.13	18:00:00	1.08521	1.08548	1.08516	1.08547	1962
2024.01.13	19:00:00	1.08547	1.08659	1.08510	1.08657	3390
2024.01.13	20:00:00	1.08657	1.08692	1.08625	1.08682	2574
2024.01.13	21:00:00	1.08682	1.08734	1.08658	1.08733	2443
2024.01.13	22:00:00	1.08733	1.08735	1.08692	1.08711	4098
2024.01.13	23:00:00	1.08711	1.08736	1.08691	1.08712	1517
2024.01.14	00:00:00	1.08712	1.08733	1.08566	1.08663	1038
2024.01.14	01:00:00	1.08663	1.08762	1.08582	1.08724	2661
2024.01.14	02:00:00	1.08724	1.08845	1.08623	1.08644	4197
2024.01.14	03:00:00	1.08644	1.08720	1.08616	1.08692	1233
2024.01.14	04:00:00	1.08692	1.08696	1.08670	1.08676	2030
2024.01.14	05:00:00	1.08676	1.08809	1.08602	1.08749	3501
2024.01.14	06:00:00	1.08749	1.08800	1.08722	1.08795	2645
2024.01.14	07:00:00	1.08795	1.08948	1.08772	1.08911	3225
2024.01.14	08:00:00	1.08911	1.08973	1.08889	1.08955	2876
2024.01.14	09:00:00	1.08955	1.08997	1.08840	1.08849	4145
2024.01.14	10:00:00	1.08849	1.08868	1.08832	1.08842	4438
2024.01.14	11:00:00	1.08842	1.08864	1.08731	1.08762	2522
2024.01.14	12:00:00	1.08762	1.08833	1.08690	1.08725	2442
2024.01.14	13:00:00	1.08725	1.08894	1.08677	1.08820	1753
2024.01.14	14:00:00	1.08820	1.08906	1.08730	1.08858	2496
2024.01.14	15:00:00	1.08858	1.08920	1.08720	1.08809	4263
2024.01.14	16:00:00	1.08809	1.08850	1.08675	1.08740	2757
2024.01.14	17:00:00	1.08740	1.08763	1.08688	1.08739	3609
2024.01.14	18:00:00	1.08739	1.08773	1.08653	1.08656	2382
2024.01.14	19:00:00	1.08656	1.08662	1.08563	1.08609	3680
2024.01.14	20:00:00	1.08609	1.08645	1.08605	1.08626	3705
2024.01.14	21:00:00	1.08626	1.08700	1.08564	1.08698	2876
2024.01.14	22:00:00	1.08698	1.08745	1.08638	1.08735	4705
2024.01.14	23:00:00	1.08735	1.08816	1.08537	1.08582	4441
2024.01.15	00:00:00	1.08582	1.08644	1.08581	1.08599	1212
2024.01.15	01:00:00	1.08599	1.08604	1.08550	1.08600	1525
2024.01.15	02:00:00	1.08600	1.08643	1.08577	1.08624	4796
2024.01.15	03:00:00	1.08624	1.08749	1.08551	1.08726	2307
2024.01.15	04:00:00	1.08726	1.08740	1.08551	1.08588	1896
2024.01.15	05:00:00	1.08588	1.08624	1.08482	1.08547	4083
2024.01.15	06:00:00	1.08547	1.08672	1.08535	1.08582	3209
2024.01.15	07:00:00	1.08582	1.08598	1.08442	1.08476	1098
2024.01.15	08:00:00	1.08476	1.08589	1.08419	1.08568	913
2024.01.15	09:00:00	1.08568	1.08597	1.08559	1.08589	4136
2024.01.15	10:00:00	1.08589	1.08687	1.08576	1.08641	3941
2024.01.15	11:00:00	1.08641	1.08645	1.08567	1.08601	2086
2024.01.15	12:00:00	1.08601	1.08709	1.08550	1.08650	4381
2024.01.15	13:00:00	1.08650	1.08758	1.08620	1.08717	1064
2024.01.15	14:00:00	1.08717	1.08759	1.08621	1.08729	4410
2024.01.15	15:00:00	1.08729	1.08775	1.08641	1.08741	856
2024.01.15	16:00:00	1.08741	1.08770	1.08669	1.08755	3362
2024.01.15	17:00:00	1.08755	1.08773	1.08612	1.08696	4293
2024.01.15	18:00:00	1.08696	1.08774	1.08679	1.08683	3286
2024.01.15	19:00:00	1.08683	1.08697	1.08637	1.08669	4003
2024.01.15	20:00:00	1.08669	1.08705	1.08658	1.08691	2047
2024.01.15	21:00:00	1.08691	1.08768	1.08656	1.08753	1796
2024.01.15	22:00:00	1.08753	1.08777	1.08660	1.08681	1696
2024.01.15	23:00:00	1.08681	1.08768	1.08660	1.08669	1023
2024.01.16	00:00:00	1.08669	1.08802	1.08669	1.08763	1747
2024.01.16	01:00:00	1.08763	1.08781	1.08688	1.08711	1612
2024.01.16	02:00:00	1.08711	1.08718	1.08633	1.08654	3905
2024.01.16	03:00:00	1.08654	1.08670	1.08642	1.08664	1458
2024.01.16	04:00:00	1.08664	1.08745	1.08625	1.08716	1246
2024.01.16	05:00:00	1.08716	1.08778	1.08695	1.08713	3798
2024.01.16	06:00:00	1.08713	1.08820	1.08695	1.08797	2920
2024.01.16	07:00:00	1.08797	1.08895	1.08792	1.08850	1470
2024.01.16	08:00:00	1.08850	1.08972	1.08794	1.08901	3676
2024.01.16	09:00:00	1.08901	1.08969	1.08895	1.08934	1472
2024.01.16	10:00:00	1.08934	1.09171	1.08897	1.09083	4035
2024.01.16	11:00:00	1.09083	1.09144	1.08995	1.09066	645
2024.01.16	12:00:00	1.09066	1.09072	1.08913	1.08932	3155
2024.01.16	13:00:00	1.08932	1.09053	1.08931	1.09034	3185
2024.01.16	14:00:00	1.09034	1.09087	1.08924	1.09001	2177
2024.01.16	15:00:00	1.09001	1.09082	1.08922	1.09004	3600
2024.01.16	16:00:00	1.09004	1.09099	1.09001	1.09087	2208
2024.01.16	17:00:00	1.09087	1.09106	1.08920	1.08979	3440
2024.01.16	18:00:00	1.08979	1.09006	1.08862	1.08894	1505
2024.01.16	19:00:00	1.08894	1.08923	1.08777	1.08786	3058
2024.01.16	20:00:00	1.08786	1.08801	1.08717	1.08731	3903
2024.01.16	21:00:00	1.08731	1.08767	1.08723	1.08756	4847
2024.01.16	22:00:00	1.08756	1.08812	1.08694	1.08787	2121
2024.01.16	23:00:00	1.08787	1.08867	1.08769	1.08802	2627
2024.01.17	00:00:00	1.08802	1.08866	1.08653	1.08706	2643
2024.01.17	01:00:00	1.08706	1.08714	1.08538	1.08553	4370
2024.01.17	02:00:00	1.08553	1.08604	1.08523	1.08553	4831
